LOCATIONS	Type	Area	Street	Position	SpeedZone_Radius	SpeedZone_Speed	Region	Dispatchmessage	Music
22	COP	Model.Ped1	344.854f	193.315f, -808.402f, 31.049f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
22	MEDIC	Model.Ped2	280.870f	194.006f, -805.536f, 31.077f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
22	MEDIC	Model.Ped2	106.391f	195.349f, -804.413f, 31.138f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
22	CIVILIAN	a_m_m_malibu_01	338.786f	194.553f, -805.031f, 31.108f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
22	CIVILIAN	a_f_m_bevhills_01	106.190f	198.907f, -804.221f, 31.173f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
23	COP	Model.Ped1	153.127f	1665.017f, 4827.325f, 41.967f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
23	MEDIC	Model.Ped2	74.948f	1664.896f, 4823.325f, 42.095f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
23	MEDIC	Model.Ped2	227.621f	1663.303f, 4823.837f, 42.091f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
23	CIVILIAN	a_m_m_hillbilly_02	333.822f	1664.149f, 4823.726f, 42.103f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
23	CIVILIAN	a_f_y_soucent_03	304.726f	1663.073f, 4820.381f, 42.030f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
24	COP	Model.Ped1	341.414f	857.154f, 4329.255f, 51.632f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
24	MEDIC	Model.Ped2	261.425f	856.984f, 4332.509f, 51.608f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
24	MEDIC	Model.Ped2	141.060f	858.547f, 4332.593f, 51.524f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
24	CIVILIAN	a_m_y_hiker_01	20.510f	857.833f, 4332.220f, 51.571f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
24	CIVILIAN	a_f_y_hiker_01	51.664f	859.647f, 4331.102f, 51.492f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
25	COP	Model.Ped1	282.473f	597.592f, 2728.514f, 41.955f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
25	MEDIC	Model.Ped2	119.912f	601.363f, 2728.033f, 41.939f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
25	MEDIC	Model.Ped2	328.414f	599.939f, 2727.104f, 41.922f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
25	CIVILIAN	a_f_m_soucent_02	222.644f	600.552f, 2727.641f, 41.932f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
25	CIVILIAN	a_m_m_mexcntry_01	207.749f	598.577f, 2731.507f, 42.014f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
26	COP	Model.Ped1	91.468f	2501.580f, 4089.218f, 38.555f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
26	MEDIC	Model.Ped2	104.623f	2498.835f, 4086.781f, 38.240f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
26	MEDIC	Model.Ped2	274.998f	2496.976f, 4086.108f, 37.997f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
26	CIVILIAN	a_m_m_stlat_02	157.597f	2497.785f, 4086.350f, 38.102f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
26	CIVILIAN	a_f_o_indian_01	227.729f	2482.414f, 4099.885f, 38.136f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
27	COP	Model.Ped1	299.509f	-716.951f, 5780.007f, 17.786f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
27	MEDIC	Model.Ped2	240.404f	-714.327f, 5782.686f, 17.630f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
27	MEDIC	Model.Ped2	56.277f	-712.321f, 5782.108f, 17.471f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
27	CIVILIAN	a_m_m_stlat_02	123.029f	-713.338f, 5782.300f, 17.554f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
27	CIVILIAN	s_m_m_linecook	37.169f	-712.173f, 5780.002f, 17.490f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
28	COP	Model.Ped1	65.716f	1691.903f, 6416.239f, 32.543f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
28	MEDIC	Model.Ped2	57.557f	1690.037f, 6415.783f, 32.452f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
28	MEDIC	Model.Ped2	205.343f	1688.683f, 6416.980f, 32.403f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
28	CIVILIAN	g_old_man1a	94.885f	1688.914f, 6416.330f, 32.400f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
28	CIVILIAN	g_m_y_famdnf_01	161.233f	1689.169f, 6418.535f, 32.477f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
29	COP	Model.Ped1	332.007f	-1524.650f, 4911.681f, 66.501f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
29	MEDIC	Model.Ped2	305.674f	-1522.202f, 4912.700f, 66.552f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
29	MEDIC	Model.Ped2	129.455f	-1520.695f, 4914.453f, 66.605f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
29	CIVILIAN	a_f_y_hiker_01	354.345f	-1521.479f, 4913.495f, 66.578f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
29	CIVILIAN	a_m_y_hiker_01	 84.624f	-1520.197f, 4913.415f, 66.593f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
30	COP	Model.Ped1	326.544f	-93.242f, 6424.377f, 31.480f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
30	MEDIC	Model.Ped2	222.646f	-91.304f, 6431.102f, 31.356f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
30	MEDIC	Model.Ped2	81.405f	-89.854f, 6430.356f, 31.416f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
30	CIVILIAN	a_m_m_salton_02	321.037f	-90.865f, 6430.393f, 31.380f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
30	CIVILIAN	a_m_o_tramp_01	11.816f	-89.408f, 6425.795f, 31.490f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
31	CALLER	u_f_m_miranda	206.907f	-960.665f, 802.342f, 177.430f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
31	OWNER	u_m_y_party_01	348.353f	-1013.762f, 769.201f, 171.379f	missheistdockssetup1ig_10@laugh	laugh_pipe_worker3	Loop	2	
31	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
31	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
31	CIVILIAN	a_f_y_beach_01	44.218f	-1017.721f, 767.009f, 171.379f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
31	CIVILIAN	a_f_y_bevhills_04	230.554f	-1018.566f, 767.691f, 171.379f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
31	CIVILIAN	a_f_y_genhot_01	325.328f	-1021.614f, 762.994f, 171.209f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
31	CIVILIAN	a_f_m_beach_01	151.961f	-1021.043f, 763.940f, 171.209f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
31	CIVILIAN	a_m_y_beachvesp_01	139.456f	-1017.546f, 761.940f, 171.209f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
31	CIVILIAN	a_m_y_ktown_02	327.063f	-1018.493f, 760.897f, 171.209f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
31	CIVILIAN	g_f_y_vagos_01	233.589f	-1018.615f, 761.821f, 171.209f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
31	CIVILIAN	a_m_y_sunbathe_01	302.562f	-1014.214f, 769.843f, 171.379f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
31	CIVILIAN	a_f_y_yoga_01	139.488f	-1013.412f, 770.337f, 171.379f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
31	CIVILIAN	a_f_y_hipster_01	248.501f	-1015.146f, 761.698f, 171.379f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
31	CIVILIAN	a_m_y_breakdance_01	82.764f	-1014.543f, 761.484f, 171.379f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
31	CIVILIAN	a_m_y_beach_03	255.492f	-1015.181f, 765.879f, 171.209f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
31	CIVILIAN	ig_kerrymcintosh	20.203f	-1017.662f, 760.687f, 171.209f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
31	CIVILIAN	s_f_y_bartender_01	77.524f	-1014.113f, 765.580f, 171.205f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
31	CIVILIAN	a_m_y_musclbeac_02	251.524f	-1016.672f, 755.775f, 171.372f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
31	CIVILIAN	a_f_y_vinewood_02	138.668f	-1015.689f, 755.930f, 171.373f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
32	CALLER	player_zero	35.770f	-1929.474f, 404.458f, 96.296f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
32	OWNER	a_m_m_bevhills_02	97.078f	-1930.707f, 351.684f, 93.790f	amb@world_human_stand_impatient@male@no_sign@idle_a	idle_a	Loop	2	
32	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
32	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
32	CIVILIAN	ig_tracydisanto	332.951f	-1928.032f, 407.560f, 96.507f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
32	CIVILIAN	ig_amandatownley	121.483f	-1927.476f, 408.363f, 96.507f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
32	CIVILIAN	a_f_y_genhot_01	224.758f	-1928.137f, 408.774f, 96.507f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
32	CIVILIAN	a_f_m_beach_01	289.478f	-1922.948f, 404.930f, 96.295f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
32	CIVILIAN	player_one	183.013f	-1929.633f, 405.758f, 96.296f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
32	CIVILIAN	player_two	224.720f	-1930.741f, 405.586f, 96.296f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
32	CIVILIAN	g_f_y_vagos_01	176.610f	-1921.840f, 406.044f, 96.294f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
32	CIVILIAN	ig_jimmydisanto	277.074f	-1931.681f, 398.949f, 96.507f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
32	CIVILIAN	a_f_y_yoga_01	355.609f	-1921.779f, 404.551f, 96.296f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
32	CIVILIAN	a_m_y_beach_03	302.541f	-1926.650f, 405.770f, 96.295f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
32	CIVILIAN	a_m_y_stwhi_02	116.956f	-1921.008f, 405.604f, 96.295f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
32	CIVILIAN	ig_kerrymcintosh	93.812f	-1931.283f, 399.001f, 96.507f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
32	CIVILIAN	s_f_y_bartender_01	124.518f	-1925.393f, 406.580f, 96.293f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
32	CIVILIAN	a_f_y_hipster_01	77.359f	-1925.369f, 405.631f, 96.294f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
32	CIVILIAN	a_m_y_musclbeac_02	272.495f	-1930.303f, 402.160f, 96.298f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
32	CIVILIAN	a_f_y_vinewood_02	 84.559f	-1929.097f, 402.076f, 96.298f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
33	CALLER	a_f_y_business_01	18.305f	45.667f, 557.108f, 180.082f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
33	OWNER	player_one	240.523f	22.709f, 523.712f, 170.228f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	2	
33	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_l	StayInEndFrame	3	
33	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_l	None	4	
33	CIVILIAN	ig_tanisha	45.052f 	23.207f, 523.001f, 170.228f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
33	CIVILIAN	ig_tonya	133.974f	19.481f, 523.285f, 170.228f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
33	CIVILIAN	ig_jewelass	315.423f	18.797f, 522.177f, 170.228f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
33	CIVILIAN	a_f_y_genhot_01	127.537f	24.051f, 520.757f, 170.228f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
33	CIVILIAN	ig_lamardavis	1.912f	22.216f, 522.738f, 170.228f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
33	CIVILIAN	ig_stretch	309.209f	23.532f, 520.163f, 170.228f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
33	CIVILIAN	a_m_y_beach_03	265.187f	23.483f, 520.753f, 170.228f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
33	CIVILIAN	a_m_y_soucent_02	111.322f	21.299f, 519.769f, 170.228f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
33	CIVILIAN	csb_anita	261.347f	20.236f, 519.893f, 170.228f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
33	CIVILIAN	csb_denise_friend	240.606f	22.550f, 518.116f, 170.228f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
33	CIVILIAN	csb_g	169.163f	23.072f, 518.354f, 170.228f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
33	CIVILIAN	s_m_y_strvend_01	318.828f	17.869f, 532.361f, 170.628f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
33	CIVILIAN	g_f_y_ballas_01	138.504f	18.447f, 532.846f, 170.628f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
33	CIVILIAN	g_f_y_families_01	150.164f	15.696f, 523.886f, 170.228f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
33	CIVILIAN	u_m_m_rivalpap	6.594f	15.659f, 522.867f, 170.228f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
33	CIVILIAN	a_f_y_scdressy_01	314.433f	14.669f, 523.149f, 170.228f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
34	CALLER	a_f_m_eastsa_02	172.24f	943.75f, -463.71f, 61.40f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
34	OWNER	ig_terry	83.11f	896.17f, -471.54f, 59.02f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	2	
34	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
34	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
34	CIVILIAN	g_f_y_lost_01	248.43f	894.74f, -471.02f, 59.09f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
34	CIVILIAN	ig_paige	276.77f	898.69f, -469.97f, 59.02f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
34	CIVILIAN	g_f_y_lost_01	127.67f	900.22f, -469.60f, 59.02f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
34	CIVILIAN	ig_ashley	49.50f	900.19f, -470.66f, 59.02f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
34	CIVILIAN	g_m_y_lost_01	336.55f	891.60f, -474.47f, 59.02f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
34	CIVILIAN	g_m_y_lost_02	204.40f	891.50f, -473.32f, 59.02f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
34	CIVILIAN	g_m_y_lost_03	11.18f	889.06f, -474.34f, 59.02f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
34	CIVILIAN	g_m_y_lost_02	227.97f	888.05f, -473.47f, 59.01f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
34	CIVILIAN	g_f_y_lost_01	186.82f	889.15f, -473.16f, 59.01f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
34	CIVILIAN	g_f_y_lost_01	236.36f	892.80f, -478.56f, 59.02f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
34	CIVILIAN	g_m_y_lost_03	71.57f	894.56f, -478.71f, 59.02f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
34	CIVILIAN	g_f_y_lost_01	1.74f	893.42f, -479.35f, 59.07f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	16	
34	CIVILIAN	g_f_y_lost_01	159.90f	890.34f, -475.75f, 59.11f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	17	
34	CIVILIAN	g_f_y_lost_01	342.11f	889.81f, -477.75f, 59.02f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
34	CIVILIAN	g_m_y_lost_01	72.15f	890.88f, -477.01f, 59.02f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
34	CIVILIAN	g_f_y_lost_01	249.58f	889.32f, -476.80f, 59.02f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
35	CALLER	csb_screen_writer	290.232f	-1910.714f, -551.493f, 11.834f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
35	OWNER	csb_anita	311.631f	-1907.520f, -576.176f, 22.892f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	2	
35	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
35	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
35	CIVILIAN	a_f_y_bevhills_04	164.953f	-1907.227f, -575.065f, 22.947f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
35	CIVILIAN	a_f_y_bevhills_03	111.073f	-1906.405f, -575.679f, 22.893f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
35	CIVILIAN	a_f_y_genhot_01	170.563f	-1913.281f, -577.529f, 22.892f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
35	CIVILIAN	a_f_y_bevhills_02	109.572f	-1912.398f, -578.217f, 22.892f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
35	CIVILIAN	a_m_y_busicas_01	26.155f 	-1911.307f, -580.418f, 19.097f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
35	CIVILIAN	a_m_y_business_02	110.824f	-1909.350f, -570.377f, 22.970f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
35	CIVILIAN	a_f_y_bevhills_01	199.487f	-1911.692f, -579.548f, 19.097f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
35	CIVILIAN	a_m_y_gay_01	55.370f 	-1908.116f, -581.577f, 22.892f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
35	CIVILIAN	s_f_y_movprem_01	282.740f	-1910.308f, -570.489f, 22.970f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
35	CIVILIAN	u_f_y_hotposh_01	228.278f	-1909.074f, -580.910f, 22.892f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
35	CIVILIAN	a_m_y_business_01	9.976f 	-1911.095f, -576.259f, 22.892f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
35	CIVILIAN	a_m_y_business_03	201.301f	-1911.382f, -575.198f, 22.892f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
35	CIVILIAN	u_f_y_poppymich	84.869f 	-1910.442f, -575.455f, 22.892f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
35	CIVILIAN	a_f_y_business_01	75.738f 	-1908.076f, -572.487f, 22.970f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
35	CIVILIAN	csb_groom	217.318f	-1908.905f, -571.865f, 22.970f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
35	CIVILIAN	a_f_y_business_04	283.449f	-1909.162f, -572.654f, 22.970f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
36	CALLER	ig_bankman	110.177f	-2996.339f, 706.599f, 28.497f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
36	OWNER	csb_oscar	9.366f	-2998.194f, 758.405f, 26.687f	amb@world_human_stand_impatient@male@no_sign@idle_a	idle_a	Loop	2	
36	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
36	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
36	CIVILIAN	a_f_y_beach_01	321.923f	-2991.818f, 757.664f, 25.829f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
36	CIVILIAN	a_f_y_beach_01	145.825f	-2991.071f, 758.777f, 26.009f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
36	CIVILIAN	a_f_y_genhot_01	97.246f 	-2997.290f, 758.940f, 26.687f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
36	CIVILIAN	a_f_y_scdressy_01	194.420f	-2979.225f, 753.805f, 26.687f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
36	CIVILIAN	a_m_y_beach_03	13.763f 	-2978.800f, 752.192f, 26.687f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
36	CIVILIAN	a_m_y_beach_01	183.165f	-2998.140f, 759.674f, 26.687f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
36	CIVILIAN	a_f_y_bevhills_01	37.735f 	-2977.912f, 752.087f, 26.687f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
36	CIVILIAN	a_m_m_stlat_02	57.349f 	-2998.809f, 767.977f, 27.028f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
36	CIVILIAN	a_f_y_beach_01	242.653f	-2999.935f, 768.591f, 27.028f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
36	CIVILIAN	a_f_y_beach_01	181.714f	-2996.275f, 764.604f, 26.687f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
36	CIVILIAN	a_m_y_musclbeac_02	30.555f 	-2995.667f, 763.468f, 26.687f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
36	CIVILIAN	a_m_y_musclbeac_02	348.357f	-2996.476f, 763.670f, 26.687f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
36	CIVILIAN	ig_maryann	29.389f 	-3001.218f, 762.021f, 27.028f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
36	CIVILIAN	s_f_y_movprem_01	209.892f	-3001.797f, 762.999f, 27.028f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
36	CIVILIAN	ig_tylerdix	267.097f	-2989.087f, 768.452f, 26.687f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
36	CIVILIAN	s_f_y_shop_mid	87.919f 	-2987.952f, 768.332f, 26.687f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
37	CALLER	a_m_o_genstreet_01	285.574f	-236.757f, 6418.600f, 31.267f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_a	Loop	1	
37	OWNER	ig_lifeinvad_01	108.206f	-198.603f, 6377.505f, 31.837f	amb@world_human_stand_impatient@male@no_sign@idle_a	idle_a	Loop	2	
37	OWNER_IN	NONE	0f	0f,0f,0f	reaction@points@	intro_90_r	StayInEndFrame	3	
37	OWNER_OUT	NONE	0f	0f,0f,0f	reaction@points@	outro_90_r	None	4	
37	CIVILIAN	a_f_y_hipster_01	202.493f	-199.231f, 6378.705f, 31.837f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	5	
37	CIVILIAN	a_f_y_hipster_02	257.262f 	-200.130f, 6377.689f, 31.837f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	6	
37	CIVILIAN	a_f_y_eastsa_02	307.764f 	-199.706f, 6376.670f, 31.837f	amb@world_human_partying@female@partying_beer@base	base	Loop	7	
37	CIVILIAN	g_f_y_vagos_01	260.184f	-196.571f, 6384.506f, 33.085f	amb@world_human_drinking@beer@female@idle_a	idle_a	Loop	8	
37	CIVILIAN	g_m_y_armgoon_02	193.225f	-195.813f, 6385.329f, 33.085f	amb@world_human_partying@male@partying_beer@base	base	Loop	9	
37	CIVILIAN	a_m_m_salton_03	118.622f	-199.146f, 6380.066f, 31.837f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	10	
37	CIVILIAN	a_f_y_vinewood_02	293.141f	-200.582f, 6379.230f, 31.837f	amb@world_human_drinking@beer@female@idle_a	idle_c	Loop	11	
37	CIVILIAN	a_m_m_salton_01	148.616f 	-194.767f, 6377.514f, 31.853f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	12	
37	CIVILIAN	a_f_y_indian_01	303.409f 	-196.076f, 6376.754f, 31.844f	amb@world_human_drinking@beer@female@idle_a	idle_e	Loop	13	
37	CIVILIAN	a_f_y_hippie_01	3.730f 	-194.956f, 6376.164f, 31.848f	amb@world_human_drinking@beer@female@idle_a	idle_d	Loop	14	
37	CIVILIAN	a_m_m_soucent_03	44.353f 	-202.718f, 6378.177f, 31.837f	amb@world_human_partying@male@partying_beer@idle_a	idle_a	Loop	15	
37	CIVILIAN	a_m_m_stlat_02	224.343f 	-203.686f, 6379.178f, 31.837f	amb@world_human_partying@male@partying_beer@idle_a	idle_b	Loop	16	
37	CIVILIAN	a_f_y_hipster_01	129.471f 	-202.146f, 6379.727f, 31.837f	amb@world_human_partying@female@partying_beer@idle_a	idle_a	Loop	17	
37	CIVILIAN	a_f_y_soucent_02	251.977f 	-193.808f, 6378.434f, 31.860f	amb@world_human_partying@female@partying_beer@idle_a	idle_b	Loop	18	
37	CIVILIAN	csb_fos_rep	136.665f 	-192.600f, 6379.120f, 31.865f	amb@world_human_drinking@beer@male@idle_a	idle_c	Loop	19	
37	CIVILIAN	a_f_y_soucent_03	56.839f 	-192.528f, 6377.919f, 31.864f	amb@world_human_partying@female@partying_beer@base	base	Loop	20	
									
VEHICLES	Type	ModelName	Heading	Position	Id	pitch	roll	yaw	
1	POLICE	Model.Vehicle1	103.066f	-1049.494f, 1183.143f, 216.239f	1	0f	0f	0f	
1	EMS	Model.Vehicle2	99.448f	-1038.006f, 1184.424f, 216.850f	2	0f	0f	0f	
1	CIV	BISON	121.31f	-1064.50f, 1191.51f, 221.93f	3	0f	180f	0f	
